Test Case ID,User Query,Expected Tool,Actual Tool,Expected Parameters,Actual Parameters,Tool Selection Correct? (1/0),Parameters Correct? (1/0),Final Bot Response,Response Helpfulness Score (1-5),Notes
TC-01,Cancel my order ORD12345,OrderCancellation,OrderCancellation,{'orderId': 'ORD12345'},{'orderId': 'ORD12345'},1,1,Order ORD12345 has been successfully cancelled.,5,Perfect execution.
TC-02,I need to cancel ORD67890,OrderCancellation,OrderCancellation,{'orderId': 'ORD67890'},{'orderId': 'ORD67890'},1,1,"I'm sorry, but I can't cancel that order. It was placed 15 days ago, which is outside the 10-day cancellation window.",5,Correctly handled policy failure.
TC-03,Where's my package ORDABCDE?,OrderTracking,OrderTracking,{'orderId': 'ORDABCDE'},{'orderId': 'ORDABCDE'},1,1,Your order ORDABCDE is currently 'Processing'. The estimated delivery is 5-7 business days.,5,
TC-04,I want to cancel my recent order.,none,none,{},{},1,1,"Of course, I can help with that. What is the order ID you would like to cancel?",5,Correctly identified missing information.
TC-05,What's the status of order ord12345?,OrderTracking,OrderTracking,{'orderId': 'ORD12345'},{'orderId': 'ORD12345'},1,1,Your order ORD12345 has been shipped. The tracking number is 1Z999AA10123456789.,5,Handled case-insensitivity well.
TC-06,Can you track ORD99999 for me?,OrderTracking,OrderTracking,{'orderId': 'ORD99999'},{'orderId': 'ORD99999'},1,1,"I'm sorry, but I couldn't find an order with the ID ORD99999. Please double-check the number.",4,"Handled API error correctly, but could be slightly more empathetic."
TC-07,"Thanks, that's all I needed.",none,none,{},{},1,1,You're welcome! Is there anything else I can help you with today?,5,Correctly handled chit-chat.
TC-08,"Scrap my order, number is ORDABCDE",OrderCancellation,OrderCancellation,{'orderId': 'ORDABCDE'},{'orderId': 'ORDABCDE'},1,1,Your order ORDABCDE has been successfully cancelled.,5,Understood informal language.
TC-09,What's your cancellation policy?,none,none,{},{},1,1,I can help with specific order cancellations. Our general policy allows for cancellations within 10 days of placing the order.,3,Answered correctly but this could be improved with RAG.
TC-10,Track ORDABCDE and cancel ORD12345,OrderTracking,OrderTracking,{'orderId': 'ORDABCDE'},{'orderId': 'ORDABCDE'},0,1,Your order ORDABCDE is currently 'Processing'. The estimated delivery is 5-7 business days.,3,Failed on multi-intent as expected. It only handled the first request.
